lat,lng,count
71,-109.95,0
71.6,-111,0
71.67,-112,0
72,-112.81,0
71.77,-114,0
71.99,-115,0
72.1,-116,0
72.43,-117,0
72.98,-118,0
73.31,-119,0
73.53,-120,0
73.09,-121,0
73.05,-122,0
73.05,-123,0
73.22,-124,0
73.56,-125,0
73.49,-126,0
73.48,-127,0
73.49,-128,0
73.5,-129,0
73.51,-130,0
73.55,-131,0
73.61,-132,0
73.67,-133,0
73.71,-134,0
73.76,-135,0
73.82,-136,0
73.89,-137,0
73.97,-138,0
74.06,-139,0
74.15,-140,0
74.2,-141,0
74.24,-142,0
74.25,-143,0
74.25,-144,0
74.21,-145,0
74.14,-146,0
74.01,-147,0
73.93,-148,0
73.86,-149,0
73.8,-150,0
73.74,-151,0
73.64,-152,0
73.49,-153,0
73.27,-154,0
73,-154.93,0
72.83,-156,0
72.63,-157,0
72.37,-158,0
72.15,-159,0
72.13,-160,0
72.17,-161,0
72.04,-162,0
71.97,-163,0
71.96,-164,0
71.94,-165,0
71.89,-166,0
71.83,-167,0
71.79,-168,0
71.78,-169,0
71.76,-170,0
71.72,-171,0
71.63,-172,0
71.53,-173,0
71.47,-174,0
71.37,-175,0
71.15,-176,0
70.8,-177,0
70.45,-178,0
70,-178.87,0
69,-178.85,0
68.6,180,0
68.56,179,0
68.54,178,0
68.54,177,0
68.4,176,0
68.56,175,0
68.77,174,0
68.95,173,0
69.2,172,0
69.54,171,0
70,170.13,0
70.02,169,0
70.36,168,0
70.69,167,0
70.84,166,0
70.98,165,0
71.29,164,0
71.56,163,0
71.79,162,0
71.98,161,0
72.28,160,0
72.59,159,0
72.83,158,0
73,157.07,0
73.44,156,0
73.73,155,0
74,154.17,0
74.72,153,0
75,152.55,0
75,114.14,0
74,113.7,0
73.69,114,0
73.45,115,0
73,115.85,0
72.7,115,0
72.69,114,0
72.55,113,0
72.46,112,0
72.39,111,0
72.36,110,0
72.33,109,0
72.31,108,0
72.28,107,0
72.01,106,0
71.81,105,0
71.79,104,0
72.46,104,0
73,104.49,0
74,104.34,0
75,104.62,0
